key,value,basis
status,INTEGRATED_INTERIM_SYNTHESIS_V15_WITH_SLICE12B_PASS,Integrated v15 synthesis with Slice 12B strict external missing-data review.
north_star,Not collapse. Not comfort. A selective squeeze.,Unchanged thesis discipline.
v14_dependency_pass,yes,/home/yenksid/Downloads/dr_economic_research_sources/raw/integrated_interim_synthesis/dominican_hidden_squeeze_integrated_interim_synthesis_v14_with_slice10d.md
slice12b_dependency_pass,yes,/home/yenksid/Downloads/dr_economic_research_sources/raw/slice12b_strict_external_missing_data_review/outputs/slice12b_strict_external_missing_data_review_report.md
missing_inputs,none,Required input file check.
slice6a_formal_tss_offset_status,SUPPORTED_FORMAL_CHANNEL_ONLY,Carried from Integrated v14 / Slice 6A.
slice6b_context_status,SUPPORTED_FOR_CONTEXT_ONLY,Carried from Integrated v14 / Slice 6B.
slice7e_local_source_pool_bridge_status,NO_LOCKABLE_CURRENT_INFORMAL_OR_HOUSEHOLD_INCOME_METRIC_FOUND,Carried from Integrated v14 / Slice 7E.
slice8c_external_official_acquisition_status,CONFIRMED_2026_LABOR_CONTEXT_NO_INFORMAL_OR_HOUSEHOLD_INCOME_METRIC,Carried from Integrated v14 / Slice 8C.
slice9e_dynamic_api_branch_status,NO_STRICT_INCOME_DATA_CONTRACT_LOCKED,Carried from Integrated v14 / Slice 9E.
slice10d_direct_trade_down_branch_status,NO_DIRECT_TRADE_DOWN_EVIDENCE_LOCKED,Carried from Integrated v14 / Slice 10D.
slice12b_sources_reviewed,10,Slice 12B strict review.
slice12b_fetch_failed_sources,1,Fetch failures cannot be evidence.
slice12b_current_behavior_review_leads,0,No current method-auditable direct behavior lead survived.
slice12b_near_current_behavior_context_leads,1,2025 FMCG behavior context only.
slice12b_official_2025_income_context_leads,3,Official 2025 BCRD informal-income pattern context only.
slice12b_current_labor_context_without_income_metric,1,2026 labor context does not lock income/remuneration metric.
near_current_2025_fmcg_behavior_context_status,SUPPORTED_FOR_CONTEXT_ONLY,"Useful context, not 2026 proof."
official_2025_income_pattern_context_status,SUPPORTED_FOR_NEAR_CURRENT_CONTEXT_ONLY,"Confirms the kind of income pattern needed, but stale for 2026 offset."
current_informal_income_metric_status,NOT_PROVEN,No 2026 informal income metric locked.
current_household_income_metric_status,NOT_PROVEN,No current household-wide income metric locked.
current_informal_offset_claim_status,NOT_PROVEN,No current informal income/wage metric locked or aligned.
household_wide_offset_claim_status,NOT_PROVEN,No current household-wide income metric locked or aligned.
direct_trade_down_evidence_status,NOT_PROVEN,No method-audited current direct behavior evidence locked.
households_traded_down_status,NOT_PROVEN,No direct behavior evidence locked.
households_did_not_trade_down_status,NOT_PROVEN,Absence of locked evidence is not proof of absence.
formal_tss_generalization_boundary,REJECTED_BOUNDARY,No household/informal bridge survived tested branches.
comfort_claim,REJECTED_BOUNDARY,Formal-channel offset plus failed income and trade-down bridges does not prove comfort.
collapse_claim,REJECTED_BOUNDARY,"Evidence supports selective squeeze, not collapse."
global_absence_claim,REJECTED_BOUNDARY,The result covers tested source branches only; it does not prove no source exists globally.
ready_for_publishable_narrative_update,yes,Update narrative with near-current context only; no claim upgrades.
