domain,source_type,key_source_count
apibcrd.bancentral.gov.do,official_dominican_source,18
bancentral.gov.do,official_dominican_source,18
cdn.bancentral.gov.do,official_dominican_source,18
dgii.gov.do,official_dominican_source,18
digepres.gob.do,official_dominican_source,18
tss.gob.do,official_dominican_source,18
www.bancentral.gov.do,official_dominican_source,18
www.digepres.gob.do,official_dominican_source,18
www.one.gob.do,official_dominican_source,18
stats0.sb.gob.do,official_dominican_source,10
pip.one.gob.do,official_dominican_source,9
anda.one.gob.do,official_dominican_source,8
redatam.one.gob.do,official_dominican_source,7
subportal.bancentral.gov.do,official_dominican_source,6
gdc.bancentral.gov.do,official_dominican_source,5
app.bancentral.gov.do,official_dominican_source,4
www.sb.gob.do,official_dominican_source,4
cdn.bancentral.gov.do:443,official_dominican_source,1
data.imf.org,international_institutional_source,1
descargas.one.gob.do,official_dominican_source,1
dgii.gov.do:80,official_dominican_source,1
mepyd.gob.do,official_dominican_source,1
repositoriocultural.bancentral.gov.do,official_dominican_source,1
www.hacienda.gob.do,official_dominican_source,1
www.imf.org,international_institutional_source,1
